index,Bchamp1,Bchamp2,Bchamp3,Bchamp4,Bchamp5,Rchamp1,Rchamp2,Rchamp3,Rchamp4,Rchamp5,Bwins
127,Tryndamere,RekSai,Zoe,Kaisa,Alistar,Gragas,Poppy,Ahri,Samira,Rell,True
128,Leblanc,Viego,Ryze,Kaisa,Galio,Poppy,Nidalee,Tryndamere,Zeri,Sett,False
129,Zac,Volibear,Tryndamere,Kaisa,Rakan,Shen,Qiyana,Akali,Tristana,Poppy,False
130,Varus,Orianna,Lucian,Kayle,Nami,Vi,Graves,Teemo,Zilean,Cassiopeia,True
131,Tryndamere,Poppy,Syndra,Xayah,Renata,Jax,Viego,Kaisa,Jinx,Nautilus,True
132,Jax,LeeSin,Akali,Ezreal,Anivia,Tryndamere,Graves,Corki,Xayah,Renata,False
134,Volibear,Graves,Ryze,Twitch,Rakan,Tryndamere,LeeSin,Azir,Xayah,Leona,False
135,Irelia,XinZhao,Galio,Kaisa,Nautilus,Rumble,Graves,Xayah,Zeri,Leona,True
136,Irelia,Volibear,Kaisa,Zeri,Blitzcrank,Malphite,Graves,Ryze,Ezreal,Zilean,True
137,Fiora,Volibear,Ahri,Jinx,Thresh,Tryndamere,Viego,Galio,Lucian,Nami,True
138,Kennen,RekSai,Yasuo,Aphelios,Yuumi,Graves,Sylas,Volibear,Ezreal,Karma,True
140,Fiora,Kayn,Akali,Jinx,Rakan,Tryndamere,MasterYi,Ahri,Xayah,Seraphine,True
141,Graves,LeeSin,Ahri,Jinx,Karma,Volibear,Viego,Syndra,Jhin,Renata,False
142,Mordekaiser,Hecarim,Yasuo,Xayah,Sett,Aatrox,Kayn,Ahri,Kaisa,Nautilus,False
143,Shen,Talon,Leblanc,Kaisa,Rakan,Graves,Qiyana,Vex,Ezreal,Poppy,False
144,Riven,Karthus,Sylas,Ezreal,Renata,Vladimir,JarvanIV,Sion,Jinx,Nautilus,True
145,Jayce,Viego,Xayah,Draven,Karma,Ahri,LeeSin,Akshan,Ezreal,Yuumi,False
146,Shen,Kaisa,Talon,Zeri,Nautilus,Gnar,Gragas,Tryndamere,Jinx,Renata,False
147,LeeSin,Taliyah,Vex,Ezreal,Tryndamere,Graves,Viego,Kaisa,Kalista,Sett,True
148,Ornn,Kindred,Vex,Zeri,Renata,Lulu,Graves,Ahri,Kaisa,Nautilus,True
149,Rumble,Viego,Leblanc,Draven,Leona,Sejuani,Hecarim,Vex,Samira,Maokai,True
150,Poppy,Viego,Syndra,Caitlyn,Karma,Jayce,LeeSin,TwistedFate,Kaisa,Thresh,True
151,Graves,Viego,Ahri,Jinx,Renata,Jayce,Diana,Leblanc,Jhin,Leona,False
152,Gnar,JarvanIV,Sylas,Jinx,Sett,Volibear,LeeSin,Ahri,Kaisa,Blitzcrank,True
153,Rumble,Viego,Akshan,Jinx,Yuumi,Graves,Hecarim,Vex,Zeri,Nautilus,False
154,Kennen,Ekko,Talon,Zeri,Renata,Poppy,LeeSin,Kaisa,Ezreal,Leona,True
156,Darius,LeeSin,Kaisa,Samira,Renata,Gnar,Graves,Vex,Xayah,Nautilus,False
158,Sylas,JarvanIV,Leblanc,Aphelios,Thresh,Kennen,Qiyana,Ahri,Ezreal,Rakan,False
160,Graves,Viego,Ahri,Jinx,Yuumi,Kennen,LeeSin,Vex,Jhin,Karma,False
161,Gwen,Poppy,Ryze,Zeri,Blitzcrank,Ornn,Nidalee,Akshan,Lucian,Nami,False
162,Graves,Hecarim,Zoe,Jinx,Nautilus,Jayce,Kayn,Ahri,Zeri,Karma,False
164,Graves,Nidalee,Zed,Xayah,Soraka,Jayce,LeeSin,AurelionSol,Kaisa,Senna,True
165,Jax,Volibear,Sylas,Samira,Leona,Tryndamere,LeeSin,Syndra,Vayne,Alistar,False
168,Kaisa,Nidalee,Ahri,Graves,Zac,Jayce,Poppy,Ryze,Ezreal,Gragas,False
169,Ryze,Kindred,Lulu,Lucian,Nami,Kennen,Kayn,Xayah,Zeri,Nautilus,True
170,Gnar,RekSai,Kaisa,Ezreal,Karma,Tryndamere,Talon,Ryze,Jhin,Nautilus,True
171,Yasuo,LeeSin,Ahri,Xayah,Rakan,Gragas,Viego,Yone,Kaisa,Nautilus,False
172,Darius,RekSai,Ahri,Xayah,Rakan,Cassiopeia,Hecarim,Akshan,Aphelios,Yuumi,True
173,Gragas,Viego,Ahri,Rakan,Yasuo,Ryze,Poppy,Jayce,Samira,Pyke,False
174,Tryndamere,Viego,Varus,Aphelios,TahmKench,Teemo,Graves,Kaisa,MissFortune,Nautilus,True
176,Ryze,RekSai,Katarina,Vayne,Rell,Gangplank,Graves,Galio,Samira,Pyke,True
177,LeeSin,Annie,Veigar,Tryndamere,Fiora,Sylas,Lux,Kaisa,Camille,MissFortune,False
179,Poppy,Kindred,Leblanc,Kaisa,Rakan,Olaf,Taliyah,Akshan,Ezreal,Leona,False
182,Rumble,Volibear,Ahri,Ezreal,Renata,Yone,LeeSin,Galio,Aphelios,Morgana,False
184,Jayce,Viego,Sylas,Jinx,Nautilus,Kennen,Poppy,Ahri,Aphelios,Thresh,False
185,Aatrox,Qiyana,Corki,Xayah,Rakan,Irelia,Volibear,Ryze,Varus,Karma,False
186,Lulu,Hecarim,Ahri,Aphelios,Rakan,Viego,Tryndamere,Leblanc,Kaisa,Nautilus,True
187,Fiora,Qiyana,Ryze,Xayah,Nautilus,Jayce,Hecarim,Orianna,Caitlyn,Karma,False
188,Fiora,Jinx,Evelynn,Thresh,Qiyana,Jinx,Rumble,Warwick,Zed,LeeSin,False
190,Lucian,RekSai,Ryze,Xayah,Nautilus,Gnar,Hecarim,Corki,MissFortune,Leona,True
191,Akshan,Senna,Riven,Xayah,Karthus,Caitlyn,Morgana,Ziggs,Ashe,Irelia,True
192,Soraka,Sylas,Samira,Camille,Cassiopeia,Caitlyn,Akali,Zoe,Nunu,Fiora,True
193,Poppy,Viego,Ahri,Kalista,Sett,Tryndamere,Lillia,Kaisa,Zeri,Renata,False
194,Volibear,JarvanIV,Ahri,Zeri,Leona,Aatrox,Viego,Veigar,Pyke,Jinx,True
195,Kennen,Viego,Leblanc,Jhin,Leona,Renekton,LeeSin,Vex,Jinx,Thresh,True
196,Xayah,Kayn,Zilean,Irelia,Nautilus,Kennen,RekSai,Talon,Kaisa,Blitzcrank,False
197,Hecarim,Tryndamere,Kaisa,Caitlyn,Karma,Jax,RekSai,Viktor,Ezreal,Soraka,True
198,Gragas,Viego,Ornn,Zeri,Karma,Jayce,LeeSin,Leblanc,Jinx,Blitzcrank,False
199,Tryndamere,Qiyana,Akali,Jhin,Rakan,Renekton,Talon,Syndra,Zeri,Pyke,True
200,Darius,Nocturne,Viktor,Xayah,Zilean,Poppy,TwistedFate,Viego,Kaisa,Rakan,False
202,Gwen,Hecarim,Vex,Jhin,TahmKench,Camille,Graves,Zilean,Xayah,Rakan,True
203,Rumble,RekSai,Irelia,Caitlyn,Morgana,Fiora,LeeSin,Zoe,Samira,Nautilus,False
204,Rumble,Hecarim,Yone,Jinx,Zilean,Aatrox,LeeSin,Vex,Xayah,Renata,True
205,Gragas,Viego,Leblanc,Aphelios,Nautilus,Yone,Graves,Galio,Zeri,Leona,False
206,Poppy,Gangplank,Nami,Ezreal,Lucian,Kaisa,Renekton,Ornn,Samira,TahmKench,True
207,Akshan,LeeSin,Kaisa,Aphelios,Thresh,Sion,Graves,Galio,Ezreal,Pyke,True
208,Corki,Blitzcrank,Jhin,Samira,Nidalee,Ahri,Skarner,MissFortune,Sett,Yuumi,True
209,Akali,LeeSin,Galio,Samira,Nautilus,Gangplank,Graves,Vex,Kaisa,Zac,False
210,Akshan,Hecarim,Sylas,Ezreal,Karma,Darius,LeeSin,Ahri,Draven,Blitzcrank,True
211,Yone,MasterYi,Ryze,Tristana,Rell,Jayce,Khazix,Galio,Xayah,Leona,False
212,Malphite,Viego,Karma,Zeri,Alistar,Tryndamere,LeeSin,Ahri,Jinx,Nautilus,False
213,Tryndamere,Hecarim,Corki,Samira,Alistar,Fiora,Kayn,Lux,Tristana,Nautilus,True
214,Irelia,Lillia,Yasuo,Caitlyn,Lulu,Gnar,Volibear,Ahri,Zeri,Renata,True
215,Irelia,Volibear,Sylas,Jhin,Leona,Kennen,Viego,Galio,Zeri,Alistar,False
216,Jayce,RekSai,Veigar,Xayah,Renata,Renekton,Hecarim,Ekko,Galio,Ezreal,True
217,Irelia,Hecarim,Sylas,Aphelios,Seraphine,Fiora,Diana,Talon,Jhin,Nautilus,True
218,Jayce,LeeSin,Leblanc,Xayah,Rakan,Yone,Diana,Tryndamere,Samira,Nautilus,True
219,Rumble,Viego,Vex,Jinx,TahmKench,Graves,Qiyana,Galio,Aphelios,Lulu,False
220,Tryndamere,Viego,Leblanc,Jinx,Sett,Poppy,Nidalee,Yone,Aphelios,Nautilus,False
221,Kennen,Hecarim,Yone,Samira,Renata,Ornn,Kindred,Alistar,Zeri,Zoe,False
223,Graves,Viego,TwistedFate,Aphelios,Blitzcrank,Irelia,LeeSin,Sylas,Zeri,Nautilus,False
224,Shen,Viego,Ryze,Ezreal,Karma,Tryndamere,LeeSin,TwistedFate,Kaisa,Nautilus,True
225,Jayce,Graves,Zilean,Jinx,TahmKench,Gragas,Kayn,Ryze,Xayah,Pyke,False
226,Katarina,LeeSin,Gragas,Kalista,Sett,Lulu,Qiyana,Kaisa,Caitlyn,Senna,False
227,Lulu,Hecarim,Akali,Jinx,Leona,Poppy,Graves,Orianna,Aphelios,Thresh,True
228,Malphite,Graves,Ahri,Samira,Renata,TwistedFate,RekSai,Tryndamere,Aphelios,Karma,False
230,Poppy,XinZhao,Leblanc,Kalista,JarvanIV,Volibear,Talon,Ahri,Ezreal,Thresh,True
231,Quinn,Volibear,Neeko,Zeri,TahmKench,Irelia,Diana,Pyke,Samira,Nautilus,True
232,Volibear,Graves,Leblanc,Ezreal,Nautilus,Aatrox,LeeSin,Veigar,Tristana,Sett,True
233,Tryndamere,Vi,Katarina,Draven,Leona,Lulu,Hecarim,Kaisa,Samira,Nautilus,False
234,MonkeyKing,LeeSin,Ryze,Jinx,Nautilus,Akali,Viego,Ahri,Ezreal,Braum,True
235,Akali,Volibear,Zed,Jinx,Nautilus,Lulu,Hecarim,Vex,Zeri,TahmKench,False
236,Gragas,RekSai,Vex,Xayah,Renata,Camille,LeeSin,Galio,Ezreal,Blitzcrank,False
238,Yasuo,Ryze,Irelia,Nidalee,Zoe,Ashe,Bard,Jayce,Evelynn,Nocturne,True
240,Jayce,JarvanIV,Sylas,Kaisa,TahmKench,Malphite,Kindred,Ryze,Jhin,Rakan,False
241,Akshan,Hecarim,Viktor,Jinx,Renata,Jax,Darius,Sylas,Lucian,Thresh,True
242,Tryndamere,Volibear,Ahri,Ziggs,Senna,Poppy,LeeSin,Leblanc,Kaisa,Sett,False
243,Renekton,Nidalee,Leblanc,Kaisa,Nautilus,Camille,Hecarim,Ahri,Zeri,Soraka,False
244,Lillia,Rengar,TwistedFate,Gragas,Sett,Aphelios,Samira,Amumu,Zeri,Jhin,False
246,Jayce,RekSai,Ryze,Zeri,Nautilus,Warwick,Viego,Vex,Kaisa,Alistar,False
247,Gragas,Hecarim,Jinx,Gwen,Lulu,Gnar,Kindred,Cassiopeia,Aphelios,Renata,True
248,Rumble,Nocturne,Jinx,Kaisa,TahmKench,Poppy,Hecarim,Sylas,MissFortune,Maokai,True
249,Gragas,Nidalee,Viego,Xayah,Sett,Poppy,Talon,Akali,Ezreal,Nautilus,False
250,Gnar,Graves,Galio,Lucian,Sona,Hecarim,Sett,Poppy,Draven,Fizz,False
251,Viego,Renekton,Veigar,Aphelios,Nautilus,Kennen,RekSai,Ahri,Jinx,Karma,True
252,Shaco,Morgana,Vayne,Zed,Lissandra,Varus,MissFortune,MasterYi,Jayce,Veigar,False
253,Rumble,Graves,Ryze,Jinx,Veigar,Sion,Viego,Corki,Caitlyn,Renata,True
254,Nautilus,Viego,Talon,Zeri,Gragas,Rumble,Hecarim,Xerath,Aphelios,Thresh,True
255,Kennen,LeeSin,Syndra,Kaisa,Nautilus,Gnar,Graves,Ahri,Jinx,Thresh,True
257,Rumble,Sett,Ahri,Kaisa,Graves,Poppy,Kayn,Ryze,Aphelios,Rakan,True
258,Rumble,Nidalee,Yone,Senna,TahmKench,Aatrox,Qiyana,Zoe,Kaisa,Renata,True
260,Camille,RekSai,Ahri,Jinx,Nautilus,Jayce,Poppy,Leblanc,Kaisa,Sett,False
261,Renekton,Volibear,Ryze,Xayah,Nautilus,Gragas,Ekko,Draven,Lucian,Blitzcrank,True
262,Tryndamere,Hecarim,Zilean,Xayah,Seraphine,LeeSin,Volibear,Leblanc,Zeri,Renata,False
263,Akali,Viego,Vex,Aphelios,Nautilus,Urgot,RekSai,Leblanc,Jinx,Leona,True
264,Shen,Volibear,Yuumi,Draven,Katarina,Ahri,Rengar,Jinx,Leona,Nasus,True
265,Gnar,Viego,Ahri,Jinx,Thresh,Poppy,LeeSin,Vex,Aphelios,Renata,False
266,Sylas,Hecarim,AurelionSol,Ezreal,Karma,Pantheon,Kindred,Ryze,Kaisa,Alistar,True
267,Irelia,Hecarim,Ahri,Xayah,Lulu,Azir,Viego,Veigar,Samira,Nautilus,False
268,Gnar,Diana,Lucian,Jinx,Thresh,Tryndamere,Viego,Ryze,Kaisa,Renata,True
269,Jayce,Volibear,Ahri,Vayne,Karma,Graves,Hecarim,Veigar,Samira,Renata,False
270,Kennen,Akshan,Ahri,Samira,Nautilus,Irelia,Viego,Kaisa,Zeri,Seraphine,False
271,Gangplank,Qiyana,Ahri,Ezreal,Lulu,Viktor,LeeSin,Ryze,Xayah,Nautilus,False
273,Akshan,Volibear,Ryze,Vayne,Alistar,Irelia,Hecarim,Ahri,Samira,Rell,True
275,Shen,Nidalee,Lucian,Xayah,Blitzcrank,Aatrox,Volibear,Kaisa,Jinx,Thresh,True
277,Akali,LeeSin,Leblanc,Senna,TahmKench,Kennen,RekSai,Kaisa,Samira,Renata,False
279,Irelia,RekSai,Akali,Zeri,Rakan,Darius,LeeSin,Lulu,Karma,Jinx,True
280,Akali,Taliyah,Lucian,Aphelios,Galio,Gangplank,Nidalee,Jayce,Xayah,Leona,False
281,Viego,Jayce,Kaisa,Ezreal,Alistar,Fiora,Zed,Ryze,Samira,Nautilus,True
282,Poppy,Viego,Sylas,Aphelios,Sett,Gnar,LeeSin,Ahri,Ezreal,Karma,True
283,Graves,Diana,Talon,Zeri,Lulu,Akali,Tryndamere,Volibear,Draven,Nautilus,True
285,Yone,Poppy,Ahri,Nautilus,Xayah,Gnar,Diana,Renekton,Ezreal,Leona,False
286,Volibear,Graves,Akali,Kaisa,Rakan,Sylas,Viego,Poppy,Xayah,Nautilus,False
287,Gragas,LeeSin,Sylas,Jinx,Lulu,Renekton,Nidalee,Kaisa,Xayah,Renata,True
288,Karthus,Anivia,Caitlyn,Xayah,Malzahar,Kayle,Nami,Varus,Nautilus,Shaco,False
289,Yasuo,Talon,Ekko,Varus,Leona,Graves,Viego,Leblanc,Samira,Poppy,False
290,Gragas,Volibear,Yasuo,Jinx,Karma,Renekton,Gwen,Akshan,Aphelios,TahmKench,False
292,Kaisa,Lulu,Alistar,Akali,Blitzcrank,Yone,LeeSin,Ezreal,Yuumi,Jinx,False
293,Sion,Graves,Sylas,Aphelios,Renata,Lulu,Kindred,Galio,Xayah,Karma,True
295,Jayce,Viego,Leblanc,Caitlyn,Renata,Tryndamere,Graves,Vex,Aphelios,Seraphine,False
297,Yone,LeeSin,Ahri,Jinx,TahmKench,Gnar,RekSai,Viktor,Samira,Nautilus,True
298,Akali,Ahri,Qiyana,Kaisa,Nautilus,Gnar,RekSai,Vex,Xayah,Rakan,False
